conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,coordinates,latitude,longitude
1.76e+18,Wed Feb 14 08:10:24 +0000 2024,37128, BREAKING NEWS : Hasil quick count sementara Pilpres 2024 dari beberapa lembaga. https://t.co/VukgdhyJul,1.76e+18,https://pbs.twimg.com/media/GGSHa1ZbAAAPA2s.jpg,,in,,8981,3619,4233,https://x.com/idextratime/status/1757678666849583244,1.22e+18,idextratime,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.77e+18,Wed Mar 27 00:55:49 +0000 2024,44579,Hari ini sidang pertama Mahkamah Konstitisi agenda gugatan AMIN kepada KPU atas hasil Pilpres 2024 Mohon doa semuanya https://t.co/JG4fU6yQpT,1.77e+18,https://pbs.twimg.com/media/GJo2uulbUAAtd4s.jpg,,in,Indonesia,565,1748,7101,https://x.com/cakimiNOW/status/1772789589868167394,1490116879.0,cakimiNOW,"(-2.4833826, 117.8902853)",-2.4833826,117.8902853
1.78e+18,Wed Apr 24 05:52:03 +0000 2024,4,[A Thread] SERBA-SERBI CERITA HASIL SENGKETA PILPRES 2024 DI MAHKAMAH KONSTITUSI #puspenpol #Pilpres2024 #PutusanMK https://t.co/bdxQ64wSmu,1.78e+18,https://pbs.twimg.com/media/GL6GPttbkAAT7Lx.png,,in,"Bandung, Indonesia",0,1,1,https://x.com/puspenpol/status/1783011000008294436,1.43e+18,puspenpol,"(-6.9215529, 107.6110212)",-6.9215529,107.6110212
1.77e+18,Mon Mar 25 06:33:56 +0000 2024,6671,Cawapres terpilih Gibran Rakabuming Raka menanggapi gugatan hasil Pilpres 2024 yang dilayangkan pihak Anies-Muhaimin dan Ganjar-Mahfud ke Mahkamah Konstitusi. Misalnya nanti diulang terus jagoannya kalah apa mau diminta lagi apakah akan diulang sampai menang (01 dan 03) ya https://t.co/rSQmdN9JJ9,1.77e+18,https://pbs.twimg.com/media/GJfw2yCacAAV1Ig.jpg,,in,,4363,1798,445,https://x.com/catchmeupco/status/1772149902698750140,1.16e+18,catchmeupco,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.77e+18,Tue Mar 19 00:51:16 +0000 2024,6544,Genting! Seluruh rakyat siaga 1 jelang pengumuman Hasil Pilpres 19-20 Maret 2024 untuk jaga keselamatan rakyat dan kesatuan NKRI. Jika rakyat disikat pejabat dengan sadis dan brutal kumandangkan jihad total. (Imam Besar HRS) #GerudukDPRSontoloyo #GerudukDPRSontoloyo https://t.co/1331mD14bO,1.77e+18,https://pbs.twimg.com/media/GI_o-XyasAAYRT0.jpg,,in,,59,1120,2013,https://x.com/MichelAdam7__/status/1769889340413645022,1.65e+18,MichelAdam7__,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.78e+18,Sun Apr 28 07:27:13 +0000 2024,6,kemenangan pasangan presiden dan wakil presiden RI masa bakti 2024 / 2029 Prabowo Gibran baik hasil RC dan MK semakin menambah oleng dan puyeng dari para pendukung yang kalah. segala usaha mereka tempuh agar pilpres bisa dua putaran namun hasilnya tetap unggul Prabowo Gibran https://t.co/TYjkeGSOwO,1.78e+18,https://pbs.twimg.com/media/GMPDMbvbgAAB1k3.jpg,,in,Jakarta Capital Region,0,1,0,https://x.com/Subhan_oke02/status/1784484498387898728,1.76e+18,Subhan_oke02,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.78e+18,Mon Apr 22 06:44:10 +0000 2024,6990,BREAKING NEWS! Mahkamah Konstitusi menolak gugatan terkait hasil Pilpres 2024 yang dilayangkan oleh Tim 01. Tiga hakim memiliki dissenting opinion yaitu Saldi Isra Enny Nurbaningsih dan Arief Hidayat. https://t.co/NiFohhjiy2,1.78e+18,https://pbs.twimg.com/media/GLv_zTjbwAAzCKs.jpg,,in,Jakarta Capital Region,250,391,1147,https://x.com/Mdy_Asmara1701/status/1782299337424580728,1.33e+18,Mdy_Asmara1701,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.79e+18,Mon May 27 02:58:46 +0000 2024,0,Ketua DPP PDIP Puan Maharani mencurahkan isi hatinya soal hasil Pilpres 2024. Puan juga memohon maaf kepada rakyat Indonesia atas perilaku kader PDIP yang telah terbukti melakukan pelanggaran konstitusi. #pdip #puan #kilatmedia https://t.co/6t65wngHBB,1.79e+18,https://pbs.twimg.com/media/GOjb1_Pa0AAiwgO.jpg,,in,Jakarta,0,1,0,https://x.com/Kilat_com/status/1794926189121089788,174631261.0,Kilat_com,"(-6.175247, 106.8270488)",-6.175247,106.8270488
1.78e+18,Fri Apr 26 01:12:27 +0000 2024,3,Presiden Jokowi minta masyarakat mengohormati putusan MK terkait hasil Pilpres 2024. #newsflash https://t.co/vc0yFToIYb,1.78e+18,https://pbs.twimg.com/ext_tw_video_thumb/1783662865293180928/pu/img/FcwSaDfCz5ofjnji.jpg,,in,,0,1,1,https://x.com/RadioElshinta/status/1783665410875044154,121640063.0,RadioElshinta,"(46.3144754, 11.0480288)",46.3144754,11.0480288
1.78e+18,Thu Apr 25 07:46:28 +0000 2024,15,KPU telah menetapkan hasil Pilpres 2024. Ternyata bukan kali ini saja ada pasangan Capres-Cawapres tidak hadir saat penetapan. 2014 dan 2019 juga terjadi tentu dengan alasan yang berbeda. https://t.co/fAUYAboqWF,1.78e+18,https://pbs.twimg.com/media/GL_q03Nb0AAyibZ.jpg,,in,,1,2,8,https://x.com/LArismi11/status/1783402179753320917,1.32e+18,LArismi11,"(46.3144754, 11.0480288)",46.3144754,11.0480288
